candidate,state,district,office,year,party,district_i,cand_id,fec_raw_name,cand_ici,bonica_rid,ICPSR,NID,cfscore,seat,lname,fname,cfscore_dyn,dwnom1,dwnom2,dime_district,dime_ico,candidate_icpsr,name_key,party_full,stage,data_source,district_id,candidate_year_stage,on_ballot,general_votes
Bismark Agbemble,PA,1.0,house,2018,D,1.0,H0PA01275,"AGBEMBLE, BISMARK",C,,,,,,,,,,,,,"Agbemble, Bismark",agbemble_bismark,democrat,2,general_wayback,PA01,"Agbemble, Bismark_2018_2",False,
Michael Waltz,FL,6.0,house,2018,R,6.0,H8FL06148,"WALTZ, MICHAEL",O,cand144007,H8FL061482022,NH8FL06148,1.246,federal:house,waltz,michael,1.091,0.44,-0.115,FL06,O,"Waltz, Michael",waltz_michael,republican,2,general_wayback,FL06,"Waltz, Michael_2018_2",True,187891
Lenar Whitney,LA,6.0,house,2018,R,6.0,H4LA06179,"WHITNEY, LENAR",O,cand193552,H4LA061792016,N00036636,1.187,state:lower,whitney,lenar,,,,,,"Whitney, Lenar",whitney_lenar,republican,2,general_wayback,LA06,"Whitney, Lenar_2018_2",False,
Doug Mclinko,PA,12.0,house,2018,R,12.0,H8PA10188,"MCLINKO, DOUG",C,cand143234,H8PA101882018,NH8PA10188,1.268,federal:house,mclinko,doug,1.268,,,PA12,C,"Mclinko, Doug",mclinko_doug,republican,2,general_wayback,PA12,"Mclinko, Doug_2018_2",False,
Jared Golden,ME,2.0,house,2018,D,2.0,H8ME02185,"GOLDEN, JARED",C,cand141933,H8ME021852022,NH8ME02185,-0.953,federal:house,golden,jared,-1.025,-0.109,0.368,ME02,C,"Golden, Jared",golden_jared,democrat,2,general_wayback,ME02,"Golden, Jared_2018_2",True,139231
Audri Scott 1955 Williams,AL,2.0,house,2018,D,2.0,H8AL02163,"WILLIAMS, AUDRI SCOTT 1955",C,cand141042,H8AL021632018,NH8AL02163,-1.33,federal:house,williams,audri,-1.33,,,AL02,C,"Williams, Audri Scott 1955",williams_audri,democrat,2,general_wayback,AL02,"Williams, Audri Scott 1955_2018_2",False,
Debbie Dingell,MI,12.0,house,2018,D,12.0,H4MI12079,"DINGELL, DEBBIE",I,cand186651,H4MI120792022,N00036149,-0.575,federal:house,dingell,debbie,-0.627,-0.402,-0.16,MI12,I,"Dingell, Debbie",dingell_debbie,democrat,2,general_wayback,MI12,"Dingell, Debbie_2018_2",True,200588
Nicolas T Mr. Kimaz,FL,22.0,house,2018,R,22.0,H8FL22061,"KIMAZ, NICOLAS T MR.",C,cand143144,H8FL220612020,NH8FL22061,1.324,federal:house,kimaz,nicolas,1.618,,,FL22,C,"Kimaz, Nicolas T Mr.",kimaz_nicolas,republican,2,general_wayback,FL22,"Kimaz, Nicolas T Mr._2018_2",True,113049
John Fitzgerald,CA,11.0,house,2018,R,11.0,H0CA07111,"FITZGERALD, JOHN",C,,,,,,,,,,,,,"Fitzgerald, John",fitzgerald_john,republican,2,general_wayback,CA11,"Fitzgerald, John_2018_2",True,71312
Nicholas V. Taylor,TX,3.0,house,2018,R,3.0,H8TX03123,"TAYLOR, NICHOLAS V.",O,cand141700,H8TX031232022,NH8TX03123,1.159,federal:house,taylor,nicholas,1.239,0.581,-0.223,TX03,C,"Taylor, Nicholas V.",taylor_nicholas,republican,2,general_wayback,TX03,"Taylor, Nicholas V._2018_2",True,169520
Paul Pelletier,VA,10.0,house,2018,D,10.0,H8VA10171,"PELLETIER, PAUL",C,cand142814,H8VA101712018,NH8VA10171,-0.806,federal:house,pelletier,paul,-0.806,,,VA10,C,"Pelletier, Paul",pelletier_paul,democrat,2,general_wayback,VA10,"Pelletier, Paul_2018_2",False,
Bruce Wheeler,AZ,2.0,house,2018,D,2.0,H8AZ02169,"WHEELER, BRUCE",O,cand141911,H8AZ021692018,NH8AZ02169,-0.983,federal:house,wheeler,bruce,-0.983,,,AZ02,C,"Wheeler, Bruce",wheeler_bruce,democrat,2,general_wayback,AZ02,"Wheeler, Bruce_2018_2",False,
Denise Juneau,MT,0.0,house,2018,D,0.0,H6MT01095,"JUNEAU, DENISE",C,cand77315,H6MT010952018,NH6MT01095,-1.068,federal:house,juneau,denise,,,,,,"Juneau, Denise",juneau_denise,democrat,2,general_wayback,MT01,"Juneau, Denise_2018_2",False,
Jim Mowrer,IA,3.0,house,2018,D,3.0,H4IA04113,"MOWRER, JIM",C,cand160431,H4IA041132018,N00035416,-0.968,federal:house,mowrer,jim,,,,,,"Mowrer, Jim",mowrer_jim,democrat,2,general_wayback,IA03,"Mowrer, Jim_2018_2",False,
John Culberson,TX,7.0,house,2018,R,7.0,H0TX07055,"CULBERSON, JOHN",I,cand859,201392018,N00009738,1.203,federal:house,culberson,john,1.216,0.503,0.366,TX07,I,"Culberson, John",culberson_john,republican,2,general_wayback,TX07,"Culberson, John_2018_2",True,115642
Daniel Meuser,PA,9.0,house,2018,R,9.0,H8PA10147,"MEUSER, DANIEL",O,cand56320,H8PA101472022,NH8PA10147,0.831,federal:house,meuser,daniel,0.83,0.494,0.242,PA09,C,"Meuser, Daniel",meuser_daniel,republican,2,general_wayback,PA09,"Meuser, Daniel_2018_2",True,148723
Timothy W Mr. Bjorkman,SD,0.0,house,2018,D,0.0,H8SD01097,"BJORKMAN, TIMOTHY W MR.",O,cand141687,H8SD010972018,NH8SD01097,-0.939,federal:house,bjorkman,timothy,-1.109,,,SD01,O,"Bjorkman, Timothy W Mr.",bjorkman_timothy,democrat,2,general_wayback,SD01,"Bjorkman, Timothy W Mr._2018_2",False,
Michael Thomas Sherzan,IA,3.0,house,2018,D,3.0,H4IA03057,"SHERZAN, MICHAEL THOMAS",C,cand131144,H4IA030572014,N00035286,-0.616,federal:house,sherzan,michael,,,,,,"Sherzan, Michael Thomas",sherzan_michael,democrat,2,general_wayback,IA03,"Sherzan, Michael Thomas_2018_2",False,
Kathyrn Lewis,VA,6.0,house,2018,R,6.0,H8VA06195,"LEWIS, KATHYRN",O,,,,,,,,,,,,,"Lewis, Kathyrn",lewis_kathyrn,republican,2,general_wayback,VA06,"Lewis, Kathyrn_2018_2",False,
Andy Caffrey,CA,2.0,house,2018,D,2.0,H6CA02226,"CAFFREY, ANDY",C,,,,,,,,,,,,,"Caffrey, Andy",caffrey_andy,democrat,2,general_wayback,CA02,"Caffrey, Andy_2018_2",False,
Alva Lytton,CA,11.0,house,2018,D,11.0,H8CA11090,"LYTTON, ALVA",C,cand143109,H8CA110902018,NH8CA11090,-1.326,federal:house,lytton,alva,-1.326,,,CA11,C,"Lytton, Alva",lytton_alva,democrat,2,general_wayback,CA11,"Lytton, Alva_2018_2",False,
Jeffrey Allen Sr Beeler,WA,1.0,house,2018,R,1.0,H8WA01077,"BEELER, JEFFREY ALLEN SR",C,cand145927,H8WA010772022,NH8WA01077,1.424,federal:house,beeler,jeffrey,1.421,,,WA01,C,"Beeler, Jeffrey Allen Sr",beeler_jeffrey,republican,2,general_wayback,WA01,"Beeler, Jeffrey Allen Sr_2018_2",True,135534
David Trone,MD,8.0,house,2018,D,8.0,H6MD08549,"TRONE, DAVID",O,cand137543,H6MD085492022,NH6MD08549,-0.288,federal:house,trone,david,,,,,,"Trone, David",trone_david,democrat,2,general_wayback,MD08,"Trone, David_2018_2",False,
Ted D Ii Howze,CA,9.0,house,2018,R,9.0,H8CA10209,"HOWZE, TED D II",C,cand145359,H8CA102092020,NH8CA10209,1.287,federal:house,howze,ted,1.035,,,CA09,C,"Howze, Ted D Ii",howze_ted,republican,2,general_wayback,CA09,"Howze, Ted D Ii_2018_2",False,
Ross Wordhouse,OR,2.0,house,2018,D,2.0,H8OR02138,"WORDHOUSE, ROSS",C,,,,,,,,,,,,,"Wordhouse, Ross",wordhouse_ross,democrat,2,general_wayback,OR02,"Wordhouse, Ross_2018_2",False,
Jamieson Hale Gradert,NH,1.0,house,2018,R,1.0,H6NH01289,"GRADERT, JAMIESON HALE",C,,,,,,,,,,,,,"Gradert, Jamieson Hale",gradert_jamieson,republican,2,general_wayback,NH01,"Gradert, Jamieson Hale_2018_2",False,
Phil Hornback,FL,15.0,house,2018,D,15.0,H8FL15198,"HORNBACK, PHIL",O,cand143143,H8FL151982018,NH8FL15198,-1.145,state:lower,hornback,phil,-1.145,,,FL15,C,"Hornback, Phil",hornback_phil,democrat,2,general_wayback,FL15,"Hornback, Phil_2018_2",False,
Mimi Methvin,LA,3.0,house,2018,D,3.0,H8LA03094,"METHVIN, MIMI",C,cand145492,H8LA030942018,NH8LA03094,-0.689,federal:house,methvin,mimi,-0.824,,,LA03,C,"Methvin, Mimi",methvin_mimi,democrat,2,general_wayback,LA03,"Methvin, Mimi_2018_2",True,43729
John Bt Iii Campbell,CA,45.0,house,2018,R,45.0,H6CA48039,"CAMPBELL, JOHN BT III",C,cand160730,205392014,N00027565,1.051,federal:house,campbell,john,,,,,,"Campbell, John Bt Iii",campbell_john,republican,2,general_wayback,CA45,"Campbell, John Bt Iii_2018_2",False,
Jacques Mr. Jr Dandridge,TX,6.0,house,2018,R,6.0,H8TX06241,"DANDRIDGE, JACQUES MR. JR",O,,,,,,,,,,,,,"Dandridge, Jacques Mr. Jr",dandridge_jacques,republican,2,general_wayback,TX06,"Dandridge, Jacques Mr. Jr_2018_2",False,
Stacey Dash,CA,44.0,house,2018,R,44.0,H8CA44109,"DASH, STACEY",C,cand144591,H8CA441092018,NH8CA44109,0.891,federal:house,dash,stacey,0.891,,,CA44,C,"Dash, Stacey",dash_stacey,republican,2,general_wayback,CA44,"Dash, Stacey_2018_2",False,
E J Pipkin,MD,1.0,house,2018,R,1.0,H8MD01128,"PIPKIN, E J",C,cand54794,H8MD011282008,N00026417,0.85,federal:house,pipkin,e,,,,,,"Pipkin, E J",pipkin_e,republican,2,general_wayback,MD01,"Pipkin, E J_2018_2",False,
Jennifer Horn,NH,2.0,house,2018,R,2.0,H8NH02192,"HORN, JENNIFER",O,cand55440,H8NH021922010,N00029870,1.228,federal:house,horn,jennifer,,,,,,"Horn, Jennifer",horn_jennifer,republican,2,general_wayback,NH02,"Horn, Jennifer_2018_2",False,
Tom Mr. Rooney,FL,17.0,house,2018,R,17.0,H8FL16022,"ROONEY, TOM MR.",I,cand1037,209102018,N00029018,0.874,federal:house,rooney,tom,0.766,0.458,0.013,FL17,I,"Rooney, Tom Mr.",rooney_tom,republican,2,general_wayback,FL17,"Rooney, Tom Mr._2018_2",False,
Paul Iii Berry,MO,1.0,house,2018,R,1.0,H6MO01261,"BERRY, PAUL III",C,cand125841,H6MO012612016,NH6MO01261,1.457,federal:house,berry,paul,,,,,,"Berry, Paul Iii",berry_paul,republican,2,general_wayback,MO01,"Berry, Paul Iii_2018_2",False,
Mark J Leyva,IN,1.0,house,2018,R,1.0,H8IN01096,"LEYVA, MARK J",C,cand155676,H8IN010962022,N00003796,1.294,federal:house,leyva,mark,,,,,,"Leyva, Mark J",leyva_mark,republican,2,general_wayback,IN01,"Leyva, Mark J_2018_2",True,85594
Timothy Ryan,OH,13.0,house,2018,D,13.0,H2OH17109,"RYAN, TIMOTHY",I,cand909,203432022,N00025280,-0.548,federal:house,ryan,timothy,-0.639,-0.402,0.208,OH13,I,"Ryan, Timothy",ryan_timothy,democrat,2,general_wayback,OH13,"Ryan, Timothy_2018_2",True,153323
Christine Eady Mann,TX,31.0,house,2018,D,31.0,H8TX31033,"MANN, CHRISTINE EADY",C,cand140759,H8TX310332020,NH8TX31033,-1.155,federal:house,mann,christine,-1.194,,,TX31,C,"Mann, Christine Eady",mann_christine,democrat,2,general_wayback,TX31,"Mann, Christine Eady_2018_2",False,
Jason Sarnoski,NJ,5.0,house,2018,R,5.0,H8NJ05128,"SARNOSKI, JASON",C,cand142017,H8NJ051282018,NH8NJ05128,0.783,federal:house,sarnoski,jason,0.783,,,NJ05,C,"Sarnoski, Jason",sarnoski_jason,republican,2,general_wayback,NJ05,"Sarnoski, Jason_2018_2",False,
Shawna Roberts,OH,6.0,house,2018,D,6.0,H8OH06133,"ROBERTS, SHAWNA",C,cand144742,H8OH061332022,NH8OH06133,-1.155,federal:house,roberts,shawna,-1.163,,,OH06,C,"Roberts, Shawna",roberts_shawna,democrat,2,general_wayback,OH06,"Roberts, Shawna_2018_2",True,76716
Tom Cole,OK,4.0,house,2018,R,4.0,H2OK04055,"COLE, TOM",I,cand910,203442022,N00025726,0.877,federal:house,cole,tom,0.794,0.324,0.4,OK04,I,"Cole, Tom",cole_tom,republican,2,general_wayback,OK04,"Cole, Tom_2018_2",True,149227
Douglas L. Mr. Hoffman,NY,23.0,house,2018,R,23.0,H0NY23107,"HOFFMAN, DOUGLAS L. MR.",C,cand38432,H0NY231072010,N00031013,1.344,federal:house,hoffman,douglas,,,,,,"Hoffman, Douglas L. Mr.",hoffman_douglas,republican,2,general_wayback,NY23,"Hoffman, Douglas L. Mr._2018_2",False,
Kelly Mazeski,IL,6.0,house,2018,D,6.0,H8IL06121,"MAZESKI, KELLY",C,cand141117,H8IL061212018,NH8IL06121,-0.95,federal:house,mazeski,kelly,-0.932,,,IL06,C,"Mazeski, Kelly",mazeski_kelly,democrat,2,general_wayback,IL06,"Mazeski, Kelly_2018_2",False,
Roseann P. Ivanovich,IN,1.0,house,2018,R,1.0,H8IN01179,"IVANOVICH, ROSEANN P.",C,,,,,,,,,,,,,"Ivanovich, Roseann P.",ivanovich_roseann,republican,2,general_wayback,IN01,"Ivanovich, Roseann P._2018_2",False,
David Mastrianni,NY,21.0,house,2018,D,21.0,H8NY21336,"MASTRIANNI, DAVID",C,cand144145,H8NY213362020,NH8NY21336,-1.384,federal:house,mastrianni,david,,,,NY21,C,"Mastrianni, David",mastrianni_david,democrat,2,general_wayback,NY21,"Mastrianni, David_2018_2",False,
Maria Mary Matiella,AZ,2.0,house,2018,D,2.0,H8AZ02144,"MATIELLA, MARIA MARY",O,cand141054,H8AZ021442018,NH8AZ02144,-1.057,federal:house,matiella,mary,-1.057,,,AZ02,C,"Matiella, Maria Mary",matiella_maria,democrat,2,general_wayback,AZ02,"Matiella, Maria Mary_2018_2",False,
Aejaz (Raji) Rab,CA,30.0,house,2018,D,30.0,H4CA30123,"RAB, AEJAZ (RAJI)",C,cand9997219,H4CA301232022,N00036728,-0.627,federal:house,rab,aejaz,,,,CA30,C,"Rab, Aejaz (Raji)",rab_aejaz,democrat,2,general_wayback,CA30,"Rab, Aejaz (Raji)_2018_2",False,
Maxine Waters,CA,43.0,house,2018,D,43.0,H4CA23011,"WATERS, MAXINE",I,cand1195,291062022,N00006690,-0.797,federal:house,waters,maxine,-0.894,-0.656,-0.079,CA43,I,"Waters, Maxine",waters_maxine,democrat,2,general_wayback,CA43,"Waters, Maxine_2018_2",True,152272
Melissa Gilbert,MI,8.0,house,2018,D,8.0,H6MI08247,"GILBERT, MELISSA",C,cand129292,H6MI082472016,NH6MI08247,-0.936,federal:house,gilbert,melissa,,,,,,"Gilbert, Melissa",gilbert_melissa,democrat,2,general_wayback,MI08,"Gilbert, Melissa_2018_2",False,
Dwight Evans,PA,3.0,house,2018,D,3.0,H6PA02171,"EVANS, DWIGHT",I,cand102081,H6PA021712022,NH6PA02171,-0.508,federal:house,evans,dwight,-0.611,-0.466,-0.13,PA03,I,"Evans, Dwight",evans_dwight,democrat,2,general_wayback,PA03,"Evans, Dwight_2018_2",True,287610
Peter Roskam,IL,6.0,house,2018,R,6.0,H6IL06117,"ROSKAM, PETER",I,cand980,207152018,N00004719,0.996,federal:house,roskam,peter,1.168,0.429,0.018,IL06,C,"Roskam, Peter",roskam_peter,republican,2,general_wayback,IL06,"Roskam, Peter_2018_2",True,146445
J D Winteregg,OH,8.0,house,2018,R,8.0,H4OH08062,"WINTEREGG, J D",C,cand143504,H4OH080622016,N00035630,1.65,federal:house,winteregg,j,,,,,,"Winteregg, J D",winteregg_j,republican,2,general_wayback,OH08,"Winteregg, J D_2018_2",False,
E Brian Rose,MS,4.0,house,2018,R,4.0,H8MS04453,"ROSE, E BRIAN",C,cand142547,H8MS044532018,NH8MS04453,1.024,federal:house,rose,e brian,1.024,,,MS04,C,"Rose, E Brian",rose_e,republican,2,general_wayback,MS04,"Rose, E Brian_2018_2",False,
M. David Shapiro,FL,16.0,house,2018,D,16.0,H8FL16055,"SHAPIRO, M. DAVID",C,cand142447,H8FL160552018,NH8FL16055,-0.894,federal:house,shapiro,m david,-0.963,,,FL16,C,"Shapiro, M. David",shapiro_m,democrat,2,general_wayback,FL16,"Shapiro, M. David_2018_2",True,164463
James D O'Donnell,NY,18.0,house,2018,R,18.0,H8NY18274,"O'DONNELL, JAMES D",C,cand144143,H8NY182742020,NH8NY18274,0.514,federal:house,odonnell,james,0.856,,,NY18,C,"O'Donnell, James D",odonnell_james,republican,2,general_wayback,NY18,"O'Donnell, James D_2018_2",True,96345
Dawn Barlow,TN,6.0,house,2018,D,6.0,H8TN06128,"BARLOW, DAWN",O,cand144801,H8TN061282020,NH8TN06128,-0.584,federal:house,barlow,dawn,-0.982,,,TN06,O,"Barlow, Dawn",barlow_dawn,democrat,2,general_wayback,TN06,"Barlow, Dawn_2018_2",True,70370
William Lacy Jr Clay,MO,1.0,house,2018,D,1.0,H0MO01066,"CLAY, WILLIAM LACY JR",I,cand867,120092020,N00012460,-0.523,federal:house,clay,william,-0.56,-0.481,-0.078,MO01,I,"Clay, William Lacy Jr",clay_william,democrat,2,general_wayback,MO01,"Clay, William Lacy Jr_2018_2",True,219781
Darin Mckay Lahood,IL,18.0,house,2018,R,18.0,H6IL18088,"LAHOOD, DARIN MCKAY",I,cand124648,H6IL180882022,NH6IL18088,0.876,federal:house,lahood,darin,0.886,0.458,0.217,IL18,I,"Lahood, Darin Mckay",lahood_darin,republican,2,general_wayback,IL18,"Lahood, Darin Mckay_2018_2",True,195927
Raymond Anthony Jr. Meza,CA,34.0,house,2018,D,34.0,H8CA34175,"MEZA, RAYMOND ANTHONY JR.",O,cand139801,H8CA341752018,NH8CA34175,-1.455,federal:house,meza,raymond,-1.431,,,CA34,O,"Meza, Raymond Anthony Jr.",meza_raymond,democrat,2,general_wayback,CA34,"Meza, Raymond Anthony Jr._2018_2",False,
Michael Doyle,PA,18.0,house,2018,D,18.0,H4PA18131,"DOYLE, MICHAEL",I,cand1398,295612022,N00001373,-0.401,federal:house,doyle,michael,-0.583,-0.331,0.099,PA18,I,"Doyle, Michael",doyle_michael,democrat,2,general_wayback,PA18,"Doyle, Michael_2018_2",True,231472
Jim Himes,CT,4.0,house,2018,D,4.0,H8CT04172,"HIMES, JIM",I,cand1034,209072022,N00029070,-0.851,federal:house,himes,jim,-0.918,-0.239,-0.224,CT04,I,"Himes, Jim",himes_jim,democrat,2,general_wayback,CT04,"Himes, Jim_2018_2",True,168726
Gail Dignam,LA,,house,2018,R,,H2LA02081,"DIGNAM, GAIL",C,,,,,,,,,,,,,"Dignam, Gail",dignam_gail,republican,2,general_wayback,,"Dignam, Gail_2018_2",False,
Albio Sires,NJ,8.0,house,2018,D,8.0,H6NJ13191,"SIRES, ALBIO",I,cand964,205422022,N00027523,-0.377,federal:house,sires,albio,-0.454,-0.404,0.098,NJ08,I,"Sires, Albio",sires_albio,democrat,2,general_wayback,NJ08,"Sires, Albio_2018_2",True,119881
Paul David Addis,PA,5.0,house,2018,R,5.0,H8PA05303,"ADDIS, PAUL DAVID",C,,,,,,,,,,,,,"Addis, Paul David",addis_paul,republican,2,general_wayback,PA05,"Addis, Paul David_2018_2",False,
Bob Gray,GA,6.0,house,2018,R,6.0,H8GA06252,"GRAY, BOB",O,cand151817,H8GA062522018,NH8GA06252,1.469,federal:house,gray,bob,1.469,,,GA06,C,"Gray, Bob",gray_bob,republican,2,general_wayback,GA06,"Gray, Bob_2018_2",False,
Michael J Gardiner,RI,2.0,house,2018,R,2.0,H0RI02212,"GARDINER, MICHAEL J",C,,,,,,,,,,,,,"Gardiner, Michael J",gardiner_michael,republican,2,general_wayback,RI02,"Gardiner, Michael J_2018_2",False,
Ryan Trundle,LA,4.0,house,2018,D,4.0,H8LA04282,"TRUNDLE, RYAN",C,cand145598,H8LA042822018,NH8LA04282,-0.991,federal:house,trundle,ryan,-1.026,,,LA04,C,"Trundle, Ryan",trundle_ryan,democrat,2,general_wayback,LA04,"Trundle, Ryan_2018_2",True,72934
Tatiana Matta,CA,23.0,house,2018,D,23.0,H8CA23103,"MATTA, TATIANA",C,cand141531,H8CA231032018,NH8CA23103,-1.124,federal:house,matta,tatiana,-1.177,,,CA23,C,"Matta, Tatiana",matta_tatiana,democrat,2,general_wayback,CA23,"Matta, Tatiana_2018_2",True,74661
Gregory J. Pence,IN,6.0,house,2018,R,6.0,H8IN06129,"PENCE, GREGORY J.",O,cand142488,H8IN061292022,NH8IN06129,1.328,federal:house,pence,gregory,1.236,0.506,0.142,IN06,C,"Pence, Gregory J.",pence_gregory,republican,2,general_wayback,IN06,"Pence, Gregory J._2018_2",True,154260
Janis C Dr Brooks,PA,18.0,house,2018,D,18.0,H2PA14092,"BROOKS, JANIS C DR",C,cand145407,H2PA140922018,N00034126,-1.206,federal:house,brooks,janis,-2.039,,,PA18,C,"Brooks, Janis C Dr",brooks_janis,democrat,2,general_wayback,PA18,"Brooks, Janis C Dr_2018_2",False,
Tammy Marie Dr Savoie,LA,1.0,house,2018,D,1.0,H8LA01122,"SAVOIE, TAMMY MARIE DR",C,cand145835,H8LA011222018,NH8LA01122,-0.972,federal:house,savoie,tammy,-0.988,,,LA01,C,"Savoie, Tammy Marie Dr",savoie_tammy,democrat,2,general_wayback,LA01,"Savoie, Tammy Marie Dr_2018_2",True,44273
Edward Ray Ziegler,TX,7.0,house,2018,R,7.0,H8TX07173," ZIEGLER, EDWARD RAY",C,cand143687,H8TX071732018,NH8TX07173,0.579,federal:house,ziegler,edward,0.579,,,TX07,C,"Ziegler, Edward Ray",ziegler_edward,republican,2,general_wayback,TX07,"Ziegler, Edward Ray_2018_2",False,
Howard Kleinhendler,NJ,3.0,house,2018,D,3.0,H0NJ04086,"KLEINHENDLER, HOWARD",O,cand143463,H0NJ040862014,N00031516,-0.256,federal:house,kleinhendler,howard,,,,,,"Kleinhendler, Howard",kleinhendler_howard,democrat,2,general_wayback,NJ03,"Kleinhendler, Howard_2018_2",False,
Tyler Sage Cordingley Mr. Stevens,CO,5.0,house,2018,R,5.0,H8CO05189,"STEVENS, TYLER SAGE CORDINGLEY MR.",C,cand144608,H8CO051892018,NH8CO05189,-0.377,federal:house,stevens,tyler,-0.377,,,CO05,C,"Stevens, Tyler Sage Cordingley Mr.",stevens_tyler,republican,2,general_wayback,CO05,"Stevens, Tyler Sage Cordingley Mr._2018_2",False,
Andrew Joseph Williams,WI,8.0,house,2018,R,8.0,H0WI08083,"WILLIAMS, ANDREW JOSEPH",C,,,,,,,,,,,,,"Williams, Andrew Joseph",williams_andrew,republican,2,general_wayback,WI08,"Williams, Andrew Joseph_2018_2",False,
Janet Everhard,OH,2.0,house,2018,D,2.0,H6OH02292,"EVERHARD, JANET",C,cand139779,H6OH022922018,NH6OH02292,-1.143,federal:house,everhard,janet,-1.143,,,OH02,C,"Everhard, Janet",everhard_janet,democrat,2,general_wayback,OH02,"Everhard, Janet_2018_2",False,
Jeffrey L. Honorable Fortenberry,NE,1.0,house,2018,R,1.0,H4NE01064,"FORTENBERRY, JEFFREY L. HONORABLE",I,cand941,205182022,N00026631,1.187,federal:house,fortenberry,jeffrey,1.117,0.304,-0.061,NE01,I,"Fortenberry, Jeffrey L. Honorable",fortenberry_jeffrey,republican,2,general_wayback,NE01,"Fortenberry, Jeffrey L. Honorable_2018_2",True,141712
Brian Deters,IL,18.0,house,2018,D,18.0,H8IL18092,"DETERS, BRIAN",C,cand142477,H8IL180922018,NH8IL18092,-0.856,federal:house,deters,brian,-0.856,,,IL18,C,"Deters, Brian",deters_brian,democrat,2,general_wayback,IL18,"Deters, Brian_2018_2",False,
Nita M Lowey,NY,17.0,house,2018,D,17.0,H8NY20056,"LOWEY, NITA M",I,cand784,156122020,N00001024,-0.793,federal:house,lowey,nita,-0.789,-0.389,-0.152,NY17,I,"Lowey, Nita M",lowey_nita,democrat,2,general_wayback,NY17,"Lowey, Nita M_2018_2",True,159923
Lucia Kay Ms. Mcbath,GA,6.0,house,2018,D,6.0,H8GA06393,"MCBATH, LUCIA KAY MS.",C,cand144627,H8GA063932022,NH8GA06393,-1.05,federal:house,mcbath,lucia,-1.042,-0.301,0.231,GA06,C,"Mcbath, Lucia Kay Ms.",mcbath_lucia,democrat,2,general_wayback,GA06,"Mcbath, Lucia Kay Ms._2018_2",True,160139
Jared Huffman,CA,2.0,house,2018,D,2.0,H2CA06259,"HUFFMAN, JARED",I,cand40450,H2CA062592022,N00033030,-0.962,federal:house,huffman,jared,-1.032,-0.427,-0.547,CA02,I,"Huffman, Jared",huffman_jared,democrat,2,general_wayback,CA02,"Huffman, Jared_2018_2",True,243081
Kristopher William Dr. Larsen,CO,2.0,house,2018,D,2.0,H8CO02228,"LARSEN, KRISTOPHER WILLIAM DR.",O,cand142426,H8CO022282018,NH8CO02228,-1.168,federal:house,larsen,kristopher,-1.168,,,CO02,O,"Larsen, Kristopher William Dr.",larsen_kristopher,democrat,2,general_wayback,CO02,"Larsen, Kristopher William Dr._2018_2",False,
Adrian Smith,NE,3.0,house,2018,R,3.0,H6NE03115,"SMITH, ADRIAN",I,cand993,207292022,N00027623,1.175,federal:house,smith,adrian,1.209,0.513,0.231,NE03,I,"Smith, Adrian",smith_adrian,republican,2,general_wayback,NE03,"Smith, Adrian_2018_2",True,163650
Dwayne Stovall,TX,36.0,house,2018,R,36.0,H6TX36010,"STOVALL, DWAYNE",C,cand130304,H6TX360102016,NH6TX36010,1.809,federal:house,stovall,dwayne,,,,,,"Stovall, Dwayne",stovall_dwayne,republican,2,general_wayback,TX36,"Stovall, Dwayne_2018_2",False,
Stephanie Jones,NV,3.0,house,2018,R,3.0,H8NV03234,"JONES, STEPHANIE",O,,,,,,,,,,,,,"Jones, Stephanie",jones_stephanie,republican,2,general_wayback,NV03,"Jones, Stephanie_2018_2",False,
Randy Weber,TX,14.0,house,2018,R,14.0,H2TX14149,"WEBER, RANDY",I,cand44967,H2TX141492022,N00033539,1.099,federal:house,weber,randy,1.026,0.73,0.019,TX14,I,"Weber, Randy",weber_randy,republican,2,general_wayback,TX14,"Weber, Randy_2018_2",True,138942
John P. Mr. Sarbanes,MD,3.0,house,2018,D,3.0,H6MD03292,"SARBANES, JOHN P. MR.",I,cand988,207242022,N00027751,-0.81,federal:house,sarbanes,john,-0.884,-0.465,-0.072,MD03,I,"Sarbanes, John P. Mr.",sarbanes_john,democrat,2,general_wayback,MD03,"Sarbanes, John P. Mr._2018_2",True,202407
David Valadao,CA,21.0,house,2018,R,21.0,H2CA20094,"VALADAO, DAVID",I,cand40621,H2CA200942022,N00033367,1.111,federal:house,valadao,david,1.064,0.26,0.424,CA21,I,"Valadao, David",valadao_david,republican,2,general_wayback,CA21,"Valadao, David_2018_2",True,56377
Richard Thomas Wright,MN,1.0,house,2018,D,1.0,H8MN01303,"WRIGHT, RICHARD THOMAS",O,cand141620,H8MN013032018,NH8MN01303,-1.081,federal:house,wright,richard,-1.089,,,MN01,O,"Wright, Richard Thomas",wright_richard,democrat,2,general_wayback,MN01,"Wright, Richard Thomas_2018_2",False,
Jan Schneider,FL,16.0,house,2018,D,16.0,H2FL13139,"SCHNEIDER, JAN",C,cand41469,H2FL131392022,N00025314,-0.953,federal:house,schneider,jan,-1.054,,,FL16,C,"Schneider, Jan",schneider_jan,democrat,2,general_wayback,FL16,"Schneider, Jan_2018_2",False,
