office,year,state,roster_n,captured_n,capture_pct
house,2022,WA,85,58,68.2
house,2022,WI,47,34,72.3
house,2022,WV,22,11,50.0
house,2022,WY,13,10,76.9
house,2024,AK,10,3,30.0
house,2024,AL,35,19,54.3
house,2024,AR,20,13,65.0
house,2024,AS,2,1,50.0
house,2024,AZ,96,51,53.1
house,2024,CA,357,186,52.1
house,2024,CO,71,40,56.3
house,2024,CT,21,12,57.1
house,2024,DC,7,2,28.6
house,2024,DE,8,5,62.5
house,2024,FL,261,137,52.5
house,2024,GA,122,62,50.8
house,2024,GU,4,3,75.0
house,2024,HI,22,8,36.4
house,2024,IA,23,12,52.2
house,2024,ID,7,6,85.7
house,2024,IL,127,56,44.1
house,2024,IN,91,45,49.5
house,2024,KS,27,19,70.4
house,2024,KY,37,21,56.8
house,2024,LA,40,21,52.5
house,2024,MA,40,21,52.5
house,2024,MD,95,54,56.8
house,2024,ME,12,7,58.3
house,2024,MI,112,58,51.8
house,2024,MN,69,33,47.8
house,2024,MO,52,24,46.2
house,2024,MP,1,1,100.0
house,2024,MS,24,10,41.7
house,2024,MT,24,9,37.5
house,2024,NC,143,76,53.1
house,2024,ND,8,5,62.5
house,2024,NE,10,7,70.0
house,2024,NH,29,15,51.7
house,2024,NJ,99,56,56.6
house,2024,NM,21,7,33.3
house,2024,NV,54,23,42.6
house,2024,NY,194,100,51.5
house,2024,OH,107,48,44.9
house,2024,OK,40,20,50.0
house,2024,OR,56,31,55.4
house,2024,PA,100,55,55.0
house,2024,PR,5,2,40.0
house,2024,RI,22,11,50.0
house,2024,SC,50,22,44.0
house,2024,SD,6,4,66.7
house,2024,TN,68,31,45.6
house,2024,TX,329,156,47.4
house,2024,UT,38,21,55.3
house,2024,VA,92,49,53.3
house,2024,VI,1,1,100.0
house,2024,VT,6,5,83.3
house,2024,WA,87,47,54.0
house,2024,WI,56,34,60.7
house,2024,WV,16,5,31.2
house,2024,WY,9,7,77.8
senate,2002,AL,3,0,0.0
senate,2002,AR,2,0,0.0
senate,2002,AZ,2,1,50.0
senate,2002,CA,2,2,100.0
senate,2002,CT,1,1,100.0
senate,2002,DE,2,1,50.0
senate,2002,FL,1,0,0.0
senate,2002,GA,2,1,50.0
senate,2002,IA,1,0,0.0
senate,2002,ID,1,0,0.0
senate,2002,IL,3,1,33.3
senate,2002,IN,2,0,0.0
senate,2002,KS,2,2,100.0
senate,2002,KY,2,1,50.0
senate,2002,LA,1,1,100.0
senate,2002,MA,2,2,100.0
senate,2002,MD,1,1,100.0
senate,2002,ME,3,1,33.3
senate,2002,MI,1,0,0.0
senate,2002,MN,1,0,0.0
senate,2002,MO,2,2,100.0
senate,2002,MS,2,1,50.0
senate,2002,MT,1,0,0.0
senate,2002,NC,1,0,0.0
senate,2002,NE,1,1,100.0
senate,2002,NH,2,2,100.0
senate,2002,NJ,2,0,0.0
senate,2002,NM,2,1,50.0
senate,2002,NV,2,1,50.0
senate,2002,NY,3,1,33.3
senate,2002,OK,1,0,0.0
senate,2002,OR,1,0,0.0
senate,2002,PA,2,1,50.0
senate,2002,RI,2,2,100.0
senate,2002,SC,1,1,100.0
senate,2002,SD,1,0,0.0
senate,2002,TN,1,0,0.0
senate,2002,TX,2,0,0.0
senate,2002,UT,1,0,0.0
senate,2002,VA,1,1,100.0
senate,2002,VT,1,0,0.0
senate,2002,WA,2,1,50.0
senate,2002,WI,2,0,0.0
senate,2002,WY,1,0,0.0
senate,2004,AK,3,3,100.0
senate,2004,AL,3,2,66.7
senate,2004,AR,3,1,33.3
senate,2004,AZ,2,2,100.0
senate,2004,CA,5,3,60.0
senate,2004,CO,2,1,50.0
