candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
Ryan A. Mr. Mcadams,VA,4.0,house,2018,R,2,20180828090042,11,1,homepage,https://www.ryanmcadamsforcongress.com,2444,333
Erik Stanger,CO,6.0,house,2018,D,2,20180105203421,4,6,action;homepage;issues;other,http://erikforcolorado.xyz,23617,3229
Dushyant Jethagir Dr Gosai,FL,3.0,house,2018,D,2,20180909180716,6,1,homepage,https://gosaiforcongress.com,2580,382
Erik Mr. Paulsen,MN,3.0,house,2018,R,2,20180322180012,1,1,homepage,https://www.paulsenforcongress.com,426,40
John Thomas Mr. Jr. Graves,GA,14.0,house,2018,R,2,20181113202433,9,17,action;biography;homepage;news;other,https://www.gravesforcongress.org,69833,10283
Brian Forde,CA,45.0,house,2018,D,2,20180401023337,9,8,action;biography;homepage;issues;other,http://www.forde.com/,42141,6181
Jim Walz,IL,14.0,house,2018,D,2,20180217205256,1,11,biography;homepage;news;other,https://www.jimwalzforcongress.com,43386,6187
Jarrin Dale Jackson,OK,2.0,house,2018,R,2,20181229004857,16,3,biography;homepage;other,https://jarrinjackson.com,5786,746
Vicky Hartzler,MO,4.0,house,2018,R,2,20181109092409,13,4,action;homepage;other,https://www.vickyhartzler.com,13161,1752
Ruby Faye Ms. Woolridge,TX,6.0,house,2018,D,2,20181119100638,4,18,biography;homepage;other,https://vote4ruby.org,69843,9603
Robert Dean Olsen,AZ,8.0,house,2018,D,2,20180817025515,4,6,action;homepage;issues;other,https://bobolsen2018.com,25844,3793
Andrew Janz,CA,22.0,house,2018,D,2,20181015152824,3,8,action;biography;constituent_services;endorsements;homepage;issues;news;other,http://andrewjanzforcongress.org/,44092,6352
J Marshall Jones Jr,LA,4.0,house,2018,D,2,20180412235400,5,16,action;biography;homepage;issues;news;other,https://www.marshalljonescongress.com,98254,15344
Sara Jacobs,CA,49.0,house,2018,D,2,20180614155411,5,4,homepage;other,https://sarajacobsforca.com,10878,1604
Joshua Alexander Williamson,IN,6.0,house,2018,D,2,20180415064201,2,1,homepage,https://joshuawilliamson2018.com,1336,153
Kevin Cavanaugh,AZ,1.0,house,2018,R,2,20180126070552,4,2,homepage;other,https://cavanaughforcongress.com,316,42
Jonathan M. Lamb,IN,6.0,house,2018,R,2,20180202202855,3,3,biography;homepage,https://www.electlamb.com,13638,1638
Andy Thorburn,CA,39.0,house,2018,D,2,20181008100138,31,1,homepage,https://www.thorburnforcongress.com/,3,1
