candidate,state,district,office,year,party,website_url,has_url,captured
Aftab Pureval,OH,01,house,2020,D,https://aftabforohio.com,True,False
Aftab Pureval,OH,01,house,2022,D,https://aftabforohio.com,True,False
Agnes Gibboney,CA,31,house,2020,R,https://www.agnesgibboney.com,True,False
Agnes Gibboney,CA,31,house,2022,R,https://www.agnesgibboney.com,True,True
Ahmad Adnan,TX,17,house,2020,R,https://ahmadforoffice.com,True,True
Ahmad Hassan,TX,00,senate,2024,D,https://hassanfortexas.org/,True,True
Ahmed Mostafa,CA,16,house,2024,D,https://ahmedforcongressca.com,True,True
Ahmed Salim,IL,07,house,2018,D,https://www.votesalim.com,True,True
Ahsan Nasar,VA,11,house,2024,D,https://nasarforcongress.com/,True,True
Aida Estrada Gray,MI,06,house,2018,D,https://aidagrayformi06.nationbuilder.com,True,False
Aida Estrada Gray,MI,06,house,2020,D,https://aidagrayformi06.nationbuilder.com,True,False
Ailina Carona,TN,57,house,2024,D,https://www.caronafortn57.com,True,True
Aisha S Khan,MD,03,house,2024,D,https://aishakhanforcongress.com,True,True
Aja Smith,CA,41,house,2020,R,https://www.ajasmithforcongress.com,True,True
Aja Smith,CA,41,house,2022,R,https://www.ajasmithforcongress.com,True,True
Aja Smith,CA,41,house,2024,R,https://www.ajasmithforcongress.com,True,True
Ajwang Rading,CA,16,house,2022,D,https://www.ajwangrading.com/,True,True
Ajwang Rading,CA,16,house,2024,D,https://www.ajwangrading.com/,True,True
Akhenaten Hotep Amun,GA,00,senate,2018,D,https://www.amun4senate.com,True,False
Akhenaten Hotep Amun,GA,00,senate,2020,D,https://www.amun4senate.com,True,True
Akhenaten Hotep Amun,GA,00,senate,2022,D,https://www.amun4senate.com,True,False
Akhenaten Hotep Amun,GA,00,senate,2024,D,https://www.amun4senate.com,True,False
Akil Khalfani,NJ,10,house,2022,D,https://akilkhalfani.com,True,True
Akil Khalfani,NJ,10,house,2024,D,https://akilkhalfani.com,True,True
Al Franken,MN,00,senate,2008,D,http://www.alfranken.com,True,True
Al Franken,MN,00,senate,2010,D,http://www.alfranken.com,True,True
